iter	Passed	Remaining
444	1584	1975
445	1587	1972
446	1594	1972
447	1598	1969
448	1602	1966
449	1603	1960
450	1604	1953
451	1612	1955
452	1617	1953
453	1619	1948
454	1625	1947
455	1631	1945
456	1632	1940
457	1638	1938
458	1639	1932
459	1648	1934
460	1652	1931
461	1665	1939
462	1667	1933
463	1669	1927
464	1670	1922
465	1672	1916
466	1673	1910
467	1681	1911
468	1682	1905
469	1685	1900
470	1695	1904
471	1697	1898
472	1699	1892
473	1699	1886
474	1707	1887
475	1713	1886
476	1717	1883
477	1719	1877
478	1726	1878
479	1728	1872
480	1730	1866
481	1738	1868
482	1744	1867
483	1749	1865
484	1752	1861
485	1754	1855
486	1755	1849
487	1761	1848
488	1763	1843
489	1766	1839
490	1776	1842
491	1778	1836
492	1781	1832
493	1784	1827
494	1795	1831
495	1798	1827
496	1801	1823
497	1806	1821
498	1815	1822
499	1819	1819
500	1828	1820
501	1831	1816
502	1832	1810
503	1835	1806
504	1843	1806
505	1849	1805
506	1855	1803
507	1857	1799
508	1866	1800
509	1868	1795
510	1871	1790
511	1876	1788
512	1877	1782
513	1879	1776
514	1880	1771
515	1882	1765
516	1885	1761
517	1886	1755
518	1889	1750
519	1890	1745
520	1892	1739
521	1893	1734
522	1895	1728
523	1897	1723
524	1904	1722
525	1905	1717
526	1908	1713
527	1912	1709
528	1978	1761
529	1979	1755
530	1987	1755
531	1988	1749
532	1990	1743
533	1991	1738
534	1993	1732
535	1994	1726
536	1996	1721
537	1999	1717
538	2007	1716
539	2009	1711
540	2011	1706
541	2013	1701
542	2042	1718
543	2046	1715
544	2052	1713
545	2054	1708
546	2055	1702
547	2058	1697
548	2061	1693
549	2071	1695
550	2074	1690
551	2077	1686
552	2087	1687
553	2090	1682
554	2092	1678
555	2095	1673
556	2101	1671
557	2104	1666
558	2105	1661
559	2108	1656
560	2110	1651
561	2116	1649
562	2120	1646
563	2124	1642
564	2127	1638
565	2133	1636
566	2135	1631
567	2137	1625
568	2139	1620
569	2142	1616
570	2143	1610
571	2158	1615
572	2161	1610
573	2163	1605
574	2168	1602
575	2170	1597
576	2173	1593
577	2175	1588
578	2181	1586
579	2183	1581
580	2184	1575
581	2185	1569
582	2187	1564
583	2189	1559
584	2193	1555
585	2197	1552
586	2202	1549
587	2205	1545
588	2210	1542
589	2216	1540
590	2220	1536
591	2222	1531
592	2232	1532
593	2238	1529
594	2242	1526
595	2248	1524
596	2253	1520
597	2256	1517
598	2263	1514
599	2267	1511
600	2273	1509
601	2283	1509
602	2285	1504
603	2288	1500
604	2290	1495
605	2291	1490
606	2293	1484
607	2298	1481
608	2300	1476
609	2304	1473
610	2310	1471
611	2315	1467
612	2318	1464
613	2321	1459
614	2323	1454
615	2332	1453
616	2339	1451
617	2343	1448
618	2348	1445
619	2353	1442
620	2356	1438
621	2363	1436
622	2365	1431
623	2369	1428
624	2372	1423
625	2378	1421
626	2380	1416
627	2382	1411
628	2386	1407
629	2387	1402
630	2396	1401
631	2401	1398
632	2403	1393
633	2405	1388
634	2411	1385
635	2427	1389
636	2431	1385
637	2433	1380
638	2435	1375
639	2437	1371
640	2443	1368
641	2449	1365
642	2451	1361
643	2453	1356
644	2465	1357
645	2469	1353
646	2479	1352
647	2481	1347
648	2485	1344
649	2486	1338
650	2488	1333
651	2494	1331
652	2498	1327
653	2502	1324
654	2508	1321
655	2512	1317
656	2514	1312
657	2516	1308
658	2519	1303
659	2524	1300
660	2526	1295
661	2528	1291
662	2530	1286
663	2535	1282
664	2538	1278
665	2543	1275
666	2545	1270
667	2547	1266
668	2552	1262
669	2558	1260
670	2559	1254
671	2563	1251
672	2567	1247
673	2573	1244
674	2575	1240
675	2577	1235
676	2579	1230
677	2581	1225
678	2583	1221
679	2584	1216
680	2592	1214
681	2595	1210
682	2596	1205
683	2599	1200
684	2601	1196
685	2607	1193
686	2609	1188
687	2611	1184
688	2614	1180
689	2619	1176
690	2622	1172
691	2625	1168
692	2628	1164
693	2629	1159
694	2632	1155
695	2639	1152
696	2640	1148
697	2642	1143
698	2644	1138
699	2646	1134
700	2647	1129
701	2649	1124
702	2651	1120
703	2653	1115
704	2655	1111
705	2657	1106
706	2659	1101
707	2660	1097
708	2662	1092
709	2663	1088
710	2665	1083
711	2667	1079
712	2669	1074
713	2671	1069
714	2673	1065
715	2675	1061
716	2676	1056
717	2678	1051
718	2679	1047
719	2681	1042
720	2683	1038
721	2685	1033
722	2686	1029
723	2689	1025
724	2691	1020
725	2693	1016
726	2694	1011
727	2696	1007
728	2698	1002
729	2700	998
730	2702	994
731	2704	990
732	2706	985
733	2708	981
734	2709	977
735	2711	972
736	2713	968
737	2717	964
738	2718	960
739	2720	955
740	2722	951
741	2724	947
742	2726	942
743	2727	938
744	2729	934
745	2730	929
746	2732	925
747	2734	921
748	2736	917
749	2738	912
750	2740	908
751	750	2758	752	751	2768	913
752	2772	909
753	2775	905
754	2780	902
755	2788	900
756	2793	896
757	2797	893
758	2801	889
759	2804	885
760	2806	881
761	2809	877
762	2811	873
763	2818	870
764	2820	866
765	2823	862
766	2825	858
767	2826	853
768	2829	849
769	2834	846
770	2837	842
771	2840	838
772	2842	834
773	2850	832
774	2852	828
775	2854	824
776	2857	820
777	2861	816
778	2863	812
779	2865	808
780	2867	803
781	2869	799
782	2870	795
783	2872	791
784	2873	787
785	2875	782
786	2877	778
787	2879	774
788	2881	770
789	2883	766
790	2884	762
791	2886	758
792	2887	753
793	2889	749
794	2890	745
795	2892	741
796	2894	737
797	2896	733
798	2898	729
799	2899	724
800	2901	720
801	2902	716
802	2904	712
803	2906	708
804	2907	704
805	2909	700
806	2911	696
807	2913	692
808	2915	688
809	2917	684
810	2918	680
811	2919	675
812	2921	671
813	2922	667
814	2928	664
815	2930	660
816	2932	656
817	2934	652
818	2935	648
819	2937	644
820	2938	640
821	2941	636
822	2943	632
823	2946	629
824	2947	625
825	2949	621
826	2951	617
827	2952	613
828	2954	609
829	2957	605
830	2959	601
831	2962	598
832	2964	594
833	2965	590
834	2967	586
835	2969	582
836	2970	578
837	2975	575
838	2978	571
839	2980	567
840	2982	563
841	2984	559
842	2985	556
843	2987	552
844	2990	548
845	2993	544
846	2995	541
847	2997	537
848	2999	533
849	3001	529
850	3002	525
851	3004	521
852	3008	518
853	3011	514
854	3013	511
855	3015	507
856	3017	503
857	3019	499
858	3022	496
859	3025	492
860	3027	488
861	3030	485
862	3033	481
863	3041	478
864	3046	475
865	3049	471
866	3051	468
867	3055	464
868	3061	461
869	3066	458
870	3069	454
871	3075	451
872	3078	447
873	3080	444
874	3082	440
875	3084	436
876	3091	433
877	3093	429
878	3094	426
879	3096	422
880	3098	418
881	3099	414
882	3101	410
883	3104	407
884	3107	403
885	3109	400
886	3111	396
887	3112	392
888	3114	388
889	3116	385
890	3117	381
891	3120	377
892	3122	374
893	3124	370
894	3125	366
895	3127	363
896	3129	359
897	3130	355
898	3132	351
899	3138	348
900	3141	345
901	3143	341
902	3145	337
903	3146	334
904	3148	330
905	3150	326
906	3153	323
907	3155	319
908	3157	316
909	3158	312
910	3160	308
911	3162	305
912	3163	301
913	3165	297
914	3167	294
915	3170	290
916	3172	287
917	3174	283
918	3176	279
919	3178	276
920	3179	272
921	3181	269
922	3184	265
923	3187	262
924	3189	258
925	3191	255
926	3192	251
927	3194	247
928	3196	244
929	3198	240
930	3201	237
931	3204	233
932	3206	230
933	3207	226
934	3209	223
935	3211	219
936	3212	216
937	3214	212
938	3216	208
939	3218	205
940	3220	201
941	3222	198
942	3223	194
943	3225	191
944	3227	187
945	3228	184
946	3230	180
947	3233	177
948	3235	173
949	3237	170
950	3238	166
951	3240	163
952	3242	159
953	3243	156
954	3245	152
955	3251	149
956	3253	146
957	3255	142
958	3257	139
959	3259	135
960	3260	132
961	3262	128
962	3263	125
963	3265	121
964	3267	118
965	3269	115
966	3270	111
967	3272	108
968	3274	104
969	3275	101
970	3277	97
971	3279	94
972	3281	91
973	3283	87
974	3285	84
975	3286	80
976	3287	77
977	3289	73
978	3290	70
979	3292	67
980	3293	63
981	3294	60
982	3296	57
983	3298	53
984	3300	50
985	3301	46
986	3303	43
987	3304	40
988	3305	36
989	3307	33
990	3308	30
991	3310	26
992	3311	23
993	3313	20
994	3315	16
995	3316	13
996	3317	9
997	3319	6
998	3320	3
999	3322	0
