iter	Logloss
0	0.6906842131
1	0.6875729775
2	0.6851135928
3	0.6817864759
4	0.6786479607
5	0.675600982
6	0.6731253552
7	0.67021746
8	0.6670828479
9	0.6640960295
10	0.6620238775
11	0.6596253851
12	0.6570648492
13	0.6553339288
14	0.653430361
15	0.6515770993
16	0.6490708358
17	0.6467259239
18	0.6443238422
19	0.6416818803
20	0.6391525186
21	0.6370033512
22	0.6343461196
23	0.6314212298
24	0.629319014
25	0.6274655681
26	0.625494842
27	0.6229776932
28	0.6218843635
29	0.6198184114
30	0.6178902953
31	0.615650746
32	0.613716206
33	0.6117859833
34	0.6097077583
35	0.6077767588
36	0.6057785504
37	0.6046901518
38	0.6026840707
39	0.6017209444
40	0.6002149105
41	0.5979291348
42	0.5964654928
43	0.5944980827
44	0.5927923419
45	0.5915576292
46	0.5899287837
47	0.5883461763
48	0.5866316594
49	0.5851180277
50	0.5835572846
51	0.5817595946
52	0.5799604973
53	0.5781087247
54	0.5762189583
55	0.5749045013
56	0.5735709744
57	0.5720216008
58	0.5700253843
59	0.5681235539
60	0.5668091452
61	0.5657220213
62	0.5636336254
63	0.5627115891
64	0.5613248375
65	0.5604131202
66	0.5591115182
67	0.5580209738
68	0.5573842689
69	0.5556064751
70	0.5539978151
71	0.5524300643
72	0.5513004004
73	0.5501704919
74	0.5489831476
75	0.5478263192
76	0.5463500544
77	0.5453537437
78	0.5440001044
79	0.5426840214
80	0.5414756237
81	0.5401078937
82	0.5393013342
83	0.5383290472
84	0.5370645186
85	0.5357394004
86	0.534109735
87	0.5326737914
88	0.5315248086
89	0.5301205472
90	0.5283306467
91	0.5274516316
92	0.5265825367
93	0.5257614118
94	0.525294962
95	0.5239524967
96	0.5228501392
97	0.5217049914
98	0.5206757698
99	0.5199609024
100	0.5190447974
101	0.517845293
102	0.5169400187
103	0.5155805098
104	0.5144536581
105	0.5136636446
106	0.5125754572
107	0.5114449261
108	0.5101994382
109	0.5090467219
110	0.5083635129
111	0.5072306769
112	0.5062047838
113	0.5057377815
114	0.5052706227
115	0.5042837548
116	0.5032482513
117	0.5024734619
118	0.50161425
119	0.5007168338
120	0.4995726503
121	0.4988346925
122	0.497830714
123	0.4967562767
124	0.4961257257
125	0.4953271996
126	0.4948345623
127	0.4939575511
128	0.4930509351
129	0.4925269733
130	0.4914946867
131	0.4907331478
132	0.4899265381
133	0.4889916291
134	0.4883634226
135	0.4882396967
136	0.4874931822
137	0.4866365842
138	0.4860073708
139	0.4852319409
140	0.4843038111
141	0.4833887303
142	0.4823690623
143	0.4813232236
144	0.4805527651
145	0.4804210359
146	0.4795246505
147	0.4789045523
148	0.4777287608
149	0.4765331487
150	0.4757870423
151	0.4751250402
152	0.4741573743
153	0.4732604096
154	0.4728416863
155	0.4717925658
156	0.4709616126
157	0.4702354297
158	0.4697264735
159	0.4693920733
160	0.4687352661
161	0.4681632551
162	0.4674379662
163	0.4667630585
164	0.4660434206
165	0.4653619743
166	0.4646485476
167	0.4639036075
168	0.4631480581
169	0.4629926771
170	0.4623683346
171	0.4616923663
172	0.4606669011
173	0.4600922259
174	0.4596122989
175	0.4594972661
176	0.4590164515
177	0.4583295768
178	0.4575977532
179	0.4570157454
180	0.4565770858
181	0.4559014942
182	0.4553122285
183	0.4541994244
184	0.4538190157
185	0.453490656
186	0.452809475
187	0.4521637257
188	0.4517021378
189	0.4511594079
190	0.4505026851
191	0.4499759672
192	0.4493478038
193	0.4487466586
194	0.4482247819
195	0.4477128089
196	0.4471978267
197	0.4466346936
198	0.4462519695
199	0.4456529161
200	0.4452219831
201	0.4445878511
202	0.4438606256
203	0.443454672
204	0.4432279117
205	0.4425848313
206	0.4420660502
207	0.441794957
208	0.4412213966
209	0.4405679566
210	0.4404712544
211	0.4399651577
212	0.4395389621
213	0.439043533
214	0.438673805
215	0.4384075948
216	0.437863058
217	0.4369374542
218	0.4360950268
219	0.435575953
220	0.4350704249
221	0.4345017166
222	0.433968372
223	0.4335485262
224	0.4331261166
225	0.4325641822
226	0.4319270213
227	0.4314253547
228	0.4311102392
229	0.4305748312
230	0.4302547217
231	0.4299656382
232	0.4296415812
233	0.4293356348
234	0.42869656
235	0.4283247084236	0.4303219155
2237	0.42706695992238	0.42664581922239	0.426291342
240	0.4285795133
2241	0.4455423224
242	0.4451646152
243	0.4448908976
244	0.4445996742
245	0.4442046701
246	0.4436397814
247	0.4433560306
248	0.4426732521
249	0.4422403623
250	0.4420071432
251	0.4413275
252	0.4409348997
253	0.4408784631
254	0.4403127383
255	0.4397456548
256	0.4392795301
257	0.438792503
258	0.4385843146
259	0.4385149185
260	0.4384478739
261	0.4380174924
262	0.4375491469
263	0.4371452854
264	0.4371242262
265	0.4368011266
266	0.4362725297
267	0.4359434729
268	0.4356275846
269	0.4352662073
270	0.4347322281
271	0.4345411536
272	0.4339889108
273	0.4336204006
274	0.4333414313
275	0.4329845481
276	0.4327192437
277	0.4323120117
278	0.4319647175
279	0.4315779176
280	0.4310708242
281	0.4307399384
282	0.4302103748
283	0.4298092306
284	0.4294219605
285	0.4293984975
286	0.429208442
287	0.4290214957
288	0.4285809765
289	0.4285542214
290	0.4284573908
291	0.42813774
292	0.4278172793
293	0.4276076016
294	0.4270925652
295	0.4265472203
296	0.426325393
297	0.4259209306
298	0.4255303683
299	0.4252214562
300	0.4250063439
301	0.4249954485
302	0.4249492279
303	0.4246320855
304	0.4243541874
305	0.4241727019
306	0.4238567091
307	0.423583697
308	0.4229390915
309	0.4222723556
310	0.4218961899
311	0.4216949515
312	0.4214661481
313	0.4214283146
314	0.4209171974
315	0.4207373057
316	0.4204544956
317	0.4201334339
318	0.4197965126
319	0.4193943755
320	0.4190431098
321	0.4188526101
322	0.4185426529
323	0.418164005
324	0.4177724237
325	0.417329344
326	0.4172759905
327	0.4169012618
328	0.4166133306
329	0.4162305022
330	0.4159465947
331	0.4158546761
332	0.4157536389
333	0.4153187634
334	0.4150123074
335	0.4148687598
336	0.4143111085
337	0.4140581366
338	0.4136527336
339	0.4134543171
340	0.41334923
341	0.413019938
342	0.412682886
343	0.4123648552
344	0.4123482116
345	0.4120584514
346	0.4115639517
347	0.4113619556
348	0.411096808
349	0.4108562208
350	0.4104389034
351	0.4102574179
352	0.4098997769
353	0.409722354	0.3989301708
355	0.3987039017
356	0.3983685219
357	0.3981252696
358	0.3976151715
359	0.3971370279
360	0.3970120051
361	0.3965538234
362	0.396451323
363	0.3961570949
364	0.3957369817
365	0.3955284537
366	0.3953056335
367	0.3952207696
368	0.3950835973
369	0.3949827429
370	0.3948409459
371	0.394722821
372	0.3945792211
373	0.3942024806
374	0.3938274384
375	0.3936659669
376	0.3934809018
377	0.3929324477
378	0.3925680918
379	0.3920514878
380	0.3918208292
381	0.3914973899
382	0.3911025687
383	0.3907516689
384	0.3903245534
385	0.3902781238
386	0.3899031339
387	0.3896623376
388	0.3894026508
389	0.389081145
390	0.3888816833
391	0.388650241
392	0.3881442449
393	0.3880446447
394	0.3877261959
395	0.3876051184
396	0.3873829776
397	0.3870686048
398	0.3868049987
399	0.3864322035
400	0.3863912609
401	0.3858940961
